,,,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5
2024,Tutu Atwell,LAR,0,0,0.00%,0,0,0.00%
2024,Raheem Blackshear,CAR,0,0,0.00%,0,0,0.00%
2024,Brandin Cooks,DAL,0,0,0.00%,0,0,0.00%
2024,DeeJay Dallas,ARI,0,0,0.00%,0,0,0.00%
2024,Derius Davis,LAC,1,0,2.20%,0,0,0.00%
2024,Tank Dell,HOU,0,0,0.00%,0,0,0.00%
2024,Tommy DeVito,NYG,0,0,0.00%,0,0,0.00%
2024,Stefon Diggs,HOU,1,1,2.60%,0,0,0.00%
2024,Ashton Dulin,IND,0,0,0.00%,0,0,0.00%
2024,Devin Duvernay,JAX,0,0,0.00%,0,0,0.00%
2024,Myles Gaskin,MIN,0,0,0.00%,0,0,0.00%
2024,Reggie Gilliam,BUF,1,0,1.70%,0,0,0.00%
2024,C.J. Ham,MIN,1,1,2.80%,1,1,5.90%
2024,Terrell Jennings,NWE,1,0,3.40%,0,0,0.00%
2024,Josh Johnson,BAL,0,0,0.00%,0,0,0.00%
2024,Travis Kelce,KAN,1,0,2.50%,1,0,4.00%
2024,Cooper Kupp,LAR,0,0,0.00%,0,0,0.00%
